amostra,valor_risco_fadiga,pertinencia_agregada
0,0,0.5753424657534246
0,1,0.5753424657534246
0,2,0.5753424657534246
0,3,0.5753424657534246
0,4,0.5753424657534246
0,5,0.5753424657534246
0,6,0.5753424657534246
0,7,0.5753424657534246
0,8,0.5753424657534246
0,9,0.5753424657534246
0,10,0.5753424657534246
0,11,0.5407725321888411
0,12,0.502994011976048
0,13,0.4615384615384616
0,14,0.41584158415841577
0,15,0.36521739130434777
0,16,0.30882352941176466
0,17,0.24561403508771928
0,18,0.17427385892116182
0,19,0.09312638580931265
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,25,0.0
0,26,0.0
0,27,0.0
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.0
0,32,0.0
0,33,0.0
0,34,0.0
0,35,0.0
0,36,0.0
0,37,0.0
0,38,0.0
0,39,0.0
0,40,0.0
0,41,0.0
0,42,0.0
0,43,0.0
0,44,0.0
0,45,0.0
0,46,0.0
0,47,0.0
0,48,0.0
0,49,0.0
0,50,0.0
0,51,0.0
0,52,0.0
0,53,0.0
0,54,0.0
0,55,0.0
0,56,0.0
0,57,0.0
0,58,0.0
0,59,0.0
0,60,0.0
0,61,0.0
0,62,0.0
0,63,0.0
0,64,0.0
0,65,0.0
0,66,0.0
0,67,0.0
0,68,0.0
0,69,0.0
0,70,0.0
0,71,0.0
0,72,0.0
0,73,0.0
0,74,0.0
0,75,0.0
0,76,0.0
0,77,0.0
0,78,0.0
0,79,0.0
0,80,0.0
0,81,0.0
0,82,0.0
0,83,0.0
0,84,0.0
0,85,0.0
0,86,0.0
0,87,0.0
0,88,0.0
0,89,0.0
0,90,0.0
0,91,0.0
0,92,0.0
0,93,0.0
0,94,0.0
0,95,0.0
0,96,0.0
0,97,0.0
0,98,0.0
0,99,0.0
0,100,0.0
1,0,0.06666666666666671
1,1,0.06666666666666671
1,2,0.06666666666666671
1,3,0.06666666666666671
1,4,0.06666666666666671
1,5,0.06666666666666671
1,6,0.06666666666666671
1,7,0.06666666666666671
1,8,0.06666666666666671
1,9,0.06666666666666671
1,10,0.06666666666666671
1,11,0.06617647058823534
1,12,0.06557377049180332
1,13,0.06481481481481485
1,14,0.06382978723404259
1,15,0.06250000000000004
1,16,0.09506903353057203
1,17,0.1067256637168142
1,18,0.11011235955056185
1,19,0.1055555555555556
1,20,0.07317073170731712
1,21,0.07594936708860765
1,22,0.07806691449814133
1,23,0.07973421926910304
1,24,0.08108108108108115
1,25,0.08219178082191787
1,26,0.08312342569269529
1,27,0.08391608391608399
1,28,0.08459869848156189
1,29,0.08519269776876275
1,30,0.08571428571428578
1,31,0.08519269776876275
1,32,0.08459869848156189
1,33,0.08391608391608399
1,34,0.08312342569269529
1,35,0.08219178082191787
1,36,0.08108108108108115
1,37,0.07973421926910304
1,38,0.07806691449814133
1,39,0.07594936708860765
1,40,0.07317073170731712
1,41,0.06936416184971102
1,42,0.06382978723404259
1,43,0.05504587155963305
1,44,0.038961038961038974
1,45,0.0
